Generation,Best_Fitness,Average_Fitness
307,21,7.986666666666666
308,21,8.453333333333333
309,21,8.686666666666667
310,21,8.56
311,21,9.233333333333333
312,21,8.346666666666666
313,21,8.593333333333334
314,21,9.393333333333333
315,21,7.426666666666667
316,21,7.713333333333333
317,21,8.42
318,21,8.433333333333334
319,21,8.866666666666667
320,21,8.733333333333333
321,21,8.966666666666667
322,21,8.813333333333333
323,21,7.68
324,21,8.726666666666667
325,21,8.326666666666666
326,21,8.84
327,21,8.246666666666666
328,21,8.206666666666667
329,21,8.34
330,21,8.78
331,21,8.653333333333334
332,21,8.573333333333334
333,21,8.393333333333333
334,21,8.273333333333333
335,21,7.886666666666667
336,21,8.2
337,21,9.233333333333333
338,21,8.26
339,21,8.786666666666667
340,21,8.433333333333334
341,21,9.02
342,21,9.44
343,21,8.713333333333333
344,21,8.346666666666666
345,21,9.233333333333333
346,21,8.28
347,21,8.926666666666666
348,21,8.826666666666666
349,21,8.453333333333333
350,21,8.9
351,21,8.626666666666667
352,21,9.633333333333333
353,21,8.833333333333334
354,21,8.646666666666667
355,21,8.813333333333333
356,21,8.52
357,21,8.84
358,21,8.4
359,21,8.28
360,21,8.32
361,21,8.506666666666666
362,21,8.18
363,21,8.733333333333333
364,21,8.113333333333333
365,21,8.48
366,21,9.026666666666667
367,21,9.1
368,21,8.48
369,21,8.84
370,21,8.98
371,21,8.113333333333333
372,21,9.1
373,21,8.68
374,21,8.146666666666667
375,21,8.353333333333333
376,21,8.16
377,21,9.026666666666667
378,21,8.3
379,21,8.86
380,21,8.333333333333334
381,21,8.593333333333334
382,21,8.693333333333333
383,21,8.633333333333333
384,21,8.313333333333333
385,21,8.933333333333334
386,21,8.34
387,21,8.693333333333333
388,21,8.226666666666667
389,21,8.8
390,21,8.206666666666667
391,21,8.793333333333333
392,21,8.293333333333333
393,21,9.113333333333333
394,21,9.14
395,21,8.013333333333334
396,21,8.826666666666666
397,21,8.233333333333333
398,21,8.58
399,21,9.126666666666667
400,21,9.04
401,21,8.186666666666667
402,21,9.806666666666667
403,21,8.746666666666666
404,21,8.613333333333333
405,21,9.053333333333333
406,21,8.54
407,21,9.38
408,21,7.626666666666667
409,21,8.113333333333333
410,21,8.153333333333334
411,21,8.946666666666667
412,21,7.8533333333333335
413,21,8.68
414,21,9.486666666666666
415,21,9.013333333333334
416,21,8.78
417,21,8.86
418,21,8.226666666666667
419,21,8.833333333333334
420,21,8.586666666666666
421,21,8.346666666666666
422,21,8.5
423,21,8.26
424,21,8.873333333333333
425,21,8.22
426,21,8.8
427,21,8.846666666666666
428,21,8.233333333333333
429,21,7.42
430,21,8.733333333333333
431,21,8.186666666666667
432,21,8.16
433,21,9.44
434,21,8.62
435,21,8.486666666666666
436,21,8.78
437,21,7.953333333333333
438,21,9.026666666666667
439,21,8.12
440,21,8.2
441,21,9.0
442,21,8.86
443,21,8.746666666666666
444,21,8.52
445,21,8.513333333333334
446,21,8.066666666666666
447,21,8.64
448,21,9.5
449,21,8.733333333333333
450,21,8.82
451,21,8.113333333333333
452,21,8.386666666666667
453,21,8.54
454,21,8.033333333333333
455,21,8.526666666666667
456,21,9.133333333333333
457,21,9.16
458,21,7.986666666666666
459,21,7.973333333333334
460,21,8.28
461,21,8.033333333333333
462,21,8.186666666666667
463,21,8.986666666666666
464,21,8.853333333333333
465,21,8.56
466,21,7.773333333333333
467,21,8.68
468,21,8.246666666666666
469,21,8.213333333333333
470,21,8.606666666666667
471,21,9.166666666666666
472,21,8.493333333333334
473,21,9.18
474,21,8.633333333333333
475,21,8.18
476,21,8.58
477,21,8.153333333333334
478,21,8.446666666666667
479,21,8.113333333333333
480,21,7.613333333333333
481,21,8.633333333333333
482,21,8.406666666666666
483,21,8.893333333333333
484,21,8.386666666666667
485,21,8.56
486,21,8.44
487,21,8.453333333333333
488,21,8.106666666666667
489,21,8.746666666666666
490,21,8.993333333333334
491,21,8.966666666666667
492,21,8.866666666666667
